50	40	10	2000			
1	1	10	50			
2	2	20	40			
3	3	25	30			
4	4	30	60			
5	5	40	70			
6	6	60	50			
7	7	50	40			
8	8	35	30			
9	9	10	60			
10	10	20	70			
11	11	25	50			
12	12	30	40			
13	13	40	30			
14	14	60	60			
15	15	50	70			
16	16	35	50			
17	17	10	40			
18	18	20	30			
19	19	25	60			
20	20	30	70			
21	21	40	50			
22	22	60	40			
23	23	50	30			
24	24	35	60			
25	25	10	70			
26	26	20	50			
27	27	25	40			
28	28	30	30			
29	29	40	60			
30	30	60	70			
31	31	50	50			
32	32	35	40			
33	33	10	30			
34	34	20	60			
35	35	25	70			
36	36	30	50			
37	37	40	40			
38	38	60	30			
39	39	30	60			
40	40	20	70			
41	1	2	3	4	5	10
42	10	15	20	25	20	
43	36	37	20			
44	41	42	20			
45	10	20	30	40	10	
46	5	10	15	30		
47	6	7	8	1		
48	1	1	1	1		
49	43	44	30			
50	20	21	1			
